dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.8333333333333334,2,chronological,48,12,59,0.43335652351379395
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,0.8571428571428572,2,chronological,48,12,59,0.43335652351379395
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,0.5,3,chronological,48,12,59,0.42825913429260254
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.75,3,chronological,48,12,59,0.42825913429260254
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,0.7571428571428571,3,chronological,48,12,59,0.42825913429260254
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,0.8,4,chronological,48,12,59,0.4543743133544922
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,chronological,48,12,59,0.4543743133544922
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,0.875,4,chronological,48,12,59,0.4543743133544922
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,1.0,4,chronological,48,12,59,0.4275956153869629
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,1.0,4,chronological,48,12,59,0.4275956153869629
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,1.0,4,chronological,48,12,59,0.4275956153869629
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,0,chronological,24,6,60,0.23476004600524902
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,0,chronological,24,6,60,0.23476004600524902
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,24,6,60,0.23476004600524902
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,0,chronological,24,6,60,0.21686148643493652
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,0,chronological,24,6,60,0.21686148643493652
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,24,6,60,0.21686148643493652
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,1,chronological,24,6,60,0.6137762069702148
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,1,chronological,24,6,60,0.6137762069702148
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,24,6,60,0.6137762069702148
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,1,chronological,24,6,60,0.21914386749267578
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,1,chronological,24,6,60,0.21914386749267578
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,24,6,60,0.21914386749267578
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,2,chronological,24,6,60,0.38397693634033203
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,2,chronological,24,6,60,0.38397693634033203
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,24,6,60,0.38397693634033203
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,2,chronological,24,6,60,0.21835780143737793
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,2,chronological,24,6,60,0.21835780143737793
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,24,6,60,0.21835780143737793
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,3,chronological,24,6,60,0.6219751834869385
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,3,chronological,24,6,60,0.6219751834869385
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,24,6,60,0.6219751834869385
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,3,chronological,24,6,60,0.2185380458831787
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,3,chronological,24,6,60,0.2185380458831787
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,24,6,60,0.2185380458831787
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,4,chronological,24,6,60,0.7619130611419678
