dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-imagery_basic,fp,im,HighGamma+LDA,kappa,0.6756756756756757,0,48,12,64,0.4656486511230469
Miller2019-imagery_basic,fp,im,HighGamma+LDA,accuracy,0.6666666666666666,1,48,12,64,0.4639904499053955
Miller2019-imagery_basic,fp,im,HighGamma+LDA,balanced_accuracy,0.6571428571428571,1,48,12,64,0.4639904499053955
Miller2019-imagery_basic,fp,im,HighGamma+LDA,kappa,0.3142857142857143,1,48,12,64,0.4639904499053955
Miller2019-imagery_basic,fp,im,HighGamma+LDA,accuracy,0.5833333333333334,2,48,12,64,0.4693028926849365
Miller2019-imagery_basic,fp,im,HighGamma+LDA,balanced_accuracy,0.7222222222222222,2,48,12,64,0.4693028926849365
Miller2019-imagery_basic,fp,im,HighGamma+LDA,kappa,0.2857142857142857,2,48,12,64,0.4693028926849365
Miller2019-imagery_basic,fp,im,HighGamma+LDA,accuracy,0.6666666666666666,3,48,12,64,0.4644660949707031
Miller2019-imagery_basic,fp,im,HighGamma+LDA,balanced_accuracy,0.7142857142857143,3,48,12,64,0.4644660949707031
Miller2019-imagery_basic,fp,im,HighGamma+LDA,kappa,0.3846153846153846,3,48,12,64,0.4644660949707031
Miller2019-imagery_basic,fp,im,HighGamma+LDA,accuracy,0.75,4,48,12,64,0.4743211269378662
Miller2019-imagery_basic,fp,im,HighGamma+LDA,balanced_accuracy,0.75,4,48,12,64,0.4743211269378662
Miller2019-imagery_basic,fp,im,HighGamma+LDA,kappa,0.5,4,48,12,64,0.4743211269378662
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,accuracy,1.0,0,48,12,48,0.3545835018157959
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,48,0.3545835018157959
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,kappa,1.0,0,48,12,48,0.3545835018157959
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,accuracy,0.75,1,48,12,48,0.3513956069946289
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,balanced_accuracy,0.7285714285714285,1,48,12,48,0.3513956069946289
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,kappa,0.47058823529411764,1,48,12,48,0.3513956069946289
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,accuracy,0.75,2,48,12,48,0.35234880447387695
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,balanced_accuracy,0.8125,2,48,12,48,0.35234880447387695
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,kappa,0.5263157894736843,2,48,12,48,0.35234880447387695
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,accuracy,0.9166666666666666,3,48,12,48,0.3581960201263428
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,balanced_accuracy,0.9,3,48,12,48,0.3581960201263428
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,kappa,0.8235294117647058,3,48,12,48,0.3581960201263428
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,accuracy,0.75,4,48,12,48,0.3563976287841797
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,balanced_accuracy,0.8333333333333333,4,48,12,48,0.3563976287841797
Miller2019-imagery_basic,hh,mot,HighGamma+LDA,kappa,0.5,4,48,12,48,0.3563976287841797
Miller2019-imagery_basic,hh,im,HighGamma+LDA,accuracy,0.75,0,48,12,48,0.3555419445037842
Miller2019-imagery_basic,hh,im,HighGamma+LDA,balanced_accuracy,0.7571428571428571,0,48,12,48,0.3555419445037842
