dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at
BCICompIII-1,1,train,HighGamma + LDA,accuracy,0.7090909090909091,2,chronological,223,55,64,4.219435691833496,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,HighGamma + LDA,balanced_accuracy,0.7010869565217391,2,chronological,223,55,64,4.219435691833496,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LDA,kappa,0.8523489932885906,2,chronological,223,55,64,4.627064943313599,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LDA,accuracy,0.9272727272727272,2,chronological,223,55,64,4.627064943313599,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LDA,balanced_accuracy,0.9313858695652174,2,chronological,223,55,64,4.627064943313599,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LogReg,kappa,0.7785234899328859,2,chronological,223,55,64,3.538337230682373,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LogReg,accuracy,0.8909090909090909,2,chronological,223,55,64,3.538337230682373,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,LogBandPower + LogReg,balanced_accuracy,0.8940217391304348,2,chronological,223,55,64,3.538337230682373,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,Riemann TS + LogReg,kappa,0.887218045112782,2,chronological,223,55,64,2.120471954345703,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,Riemann TS + LogReg,accuracy,0.9454545454545454,2,chronological,223,55,64,2.120471954345703,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,Riemann TS + LogReg,balanced_accuracy,0.9408967391304348,2,chronological,223,55,64,2.120471954345703,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,HighGamma + LDA,kappa,0.6735751295336787,3,chronological,222,56,64,2.0580389499664307,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,HighGamma + LDA,accuracy,0.8392857142857143,3,chronological,222,56,64,2.0580389499664307,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
BCICompIII-1,1,train,HighGamma + LDA,balanced_accuracy,0.8385416666666667,3,chronological,222,56,64,2.0580389499664307,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08
