dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.04534681854502225,2,chronological,9735,2438,64,11.801068305969238
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.17934141011891858,2,chronological,9735,2438,64,11.48954963684082
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.003414001857963833,2,chronological,9735,2438,64,11.48954963684082
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.19765635473358326,3,chronological,9735,2438,64,11.721599340438843
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.037427462574944316,3,chronological,9735,2438,64,11.721599340438843
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.19894090232919742,3,chronological,9735,2438,64,11.500900506973267
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.008835987633945575,3,chronological,9735,2438,64,11.500900506973267
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.19264100399773096,4,chronological,9743,2439,64,11.72864580154419
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.16791391691936028,4,chronological,9743,2439,64,11.72864580154419
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.18782602084010963,4,chronological,9743,2439,64,11.482042074203491
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.15389404086091132,4,chronological,9743,2439,64,11.482042074203491
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.3118213786082563,0,chronological,8471,2119,47,6.9931910037994385
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,r2,-0.00590706799704317,0,chronological,8471,2119,47,6.9931910037994385
Miller2019-fingerflex,jc,0,HighGamma+Ridge,pearson_r,0.3291621730075828,0,chronological,8471,2119,47,6.863426685333252
Miller2019-fingerflex,jc,0,HighGamma+Ridge,r2,0.04757417527854082,0,chronological,8471,2119,47,6.863426685333252
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.3095006360426326,1,chronological,8461,2120,47,6.995498418807983
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,r2,0.016697871975194168,1,chronological,8461,2120,47,6.995498418807983
Miller2019-fingerflex,jc,0,HighGamma+Ridge,pearson_r,0.34268146145364803,1,chronological,8461,2120,47,6.860560417175293
Miller2019-fingerflex,jc,0,HighGamma+Ridge,r2,0.0755151101034069,1,chronological,8461,2120,47,6.860560417175293
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.2796110526821326,2,chronological,8461,2120,47,6.997818231582642
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,r2,0.024631417213013828,2,chronological,8461,2120,47,6.997818231582642
Miller2019-fingerflex,jc,0,HighGamma+Ridge,pearson_r,0.31002880071901834,2,chronological,8461,2120,47,6.8624255657196045
Miller2019-fingerflex,jc,0,HighGamma+Ridge,r2,0.06703108472507138,2,chronological,8461,2120,47,6.8624255657196045
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.29578194722953854,3,chronological,8461,2120,47,6.99699330329895
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,r2,0.05212430170163194,3,chronological,8461,2120,47,6.99699330329895
Miller2019-fingerflex,jc,0,HighGamma+Ridge,pearson_r,0.3208506547077633,3,chronological,8461,2120,47,6.862660884857178
Miller2019-fingerflex,jc,0,HighGamma+Ridge,r2,0.08576254673037972,3,chronological,8461,2120,47,6.862660884857178
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.31338579366458774,4,chronological,8470,2120,47,6.992005348205566
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,r2,0.04875503269198682,4,chronological,8470,2120,47,6.992005348205566
Miller2019-fingerflex,jc,0,HighGamma+Ridge,pearson_r,0.33394675052064576,4,chronological,8470,2120,47,6.8605241775512695
Miller2019-fingerflex,jc,0,HighGamma+Ridge,r2,0.07896873358302652,4,chronological,8470,2120,47,6.8605241775512695
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,pearson_r,0.21674771662521178,0,chronological,7437,1861,58,7.543586730957031
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,r2,-0.3154078844828565,0,chronological,7437,1861,58,7.543586730957031
Miller2019-fingerflex,jp,0,HighGamma+Ridge,pearson_r,0.20138711075960938,0,chronological,7437,1861,58,7.394609451293945
Miller2019-fingerflex,jp,0,HighGamma+Ridge,r2,-0.22416010590188978,0,chronological,7437,1861,58,7.394609451293945
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,pearson_r,0.3440139441786521,1,chronological,7428,1861,58,7.535527229309082
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,r2,-0.30922591740469346,1,chronological,7428,1861,58,7.535527229309082
Miller2019-fingerflex,jp,0,HighGamma+Ridge,pearson_r,0.3317092531828198,1,chronological,7428,1861,58,7.389648914337158
Miller2019-fingerflex,jp,0,HighGamma+Ridge,r2,-0.23556648140121697,1,chronological,7428,1861,58,7.389648914337158
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,pearson_r,0.32369109457639683,2,chronological,7427,1862,58,7.533578872680664
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,r2,-0.20619670213763602,2,chronological,7427,1862,58,7.533578872680664
Miller2019-fingerflex,jp,0,HighGamma+Ridge,pearson_r,0.33774295179602287,2,chronological,7427,1862,58,7.386516809463501
Miller2019-fingerflex,jp,0,HighGamma+Ridge,r2,-0.06802081200191272,2,chronological,7427,1862,58,7.386516809463501
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,pearson_r,0.2619421871035313,3,chronological,7428,1861,58,7.543910264968872
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,r2,-0.18516217935151585,3,chronological,7428,1861,58,7.543910264968872
Miller2019-fingerflex,jp,0,HighGamma+Ridge,pearson_r,0.252167252449083,3,chronological,7428,1861,58,7.389071941375732
Miller2019-fingerflex,jp,0,HighGamma+Ridge,r2,-0.08952288901057578,3,chronological,7428,1861,58,7.389071941375732
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,pearson_r,0.33995470116269993,4,chronological,7436,1862,58,7.541858196258545
Miller2019-fingerflex,jp,0,LogBandPower+Ridge,r2,-0.11598807532085283,4,chronological,7436,1862,58,7.541858196258545
Miller2019-fingerflex,jp,0,HighGamma+Ridge,pearson_r,0.32830700503421617,4,chronological,7436,1862,58,7.393803119659424
Miller2019-fingerflex,jp,0,HighGamma+Ridge,r2,-0.08245094199332088,4,chronological,7436,1862,58,7.393803119659424
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,pearson_r,0.20310781959769683,0,chronological,2847,714,43,2.1594631671905518
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,r2,-0.14567605521327281,0,chronological,2847,714,43,2.1594631671905518
Miller2019-fingerflex,mv,0,HighGamma+Ridge,pearson_r,0.247588452766417,0,chronological,2847,714,43,2.1191091537475586
Miller2019-fingerflex,mv,0,HighGamma+Ridge,r2,-0.014212093035338814,0,chronological,2847,714,43,2.1191091537475586
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,pearson_r,0.20428988277661791,1,chronological,2838,714,43,2.150944709777832
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,r2,-0.19277568794860755,1,chronological,2838,714,43,2.150944709777832
Miller2019-fingerflex,mv,0,HighGamma+Ridge,pearson_r,0.27249895044037087,1,chronological,2838,714,43,2.1158015727996826
Miller2019-fingerflex,mv,0,HighGamma+Ridge,r2,0.0062178393940903074,1,chronological,2838,714,43,2.1158015727996826
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,pearson_r,0.2531971129147049,2,chronological,2838,714,43,2.151022434234619
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,r2,-0.23739656369575193,2,chronological,2838,714,43,2.151022434234619
