dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,kappa,0.4713656387665198,3,240,60,41,0.31801843643188477
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,accuracy,0.8333333333333334,3,240,60,41,0.17238855361938477
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,balanced_accuracy,0.839366515837104,3,240,60,41,0.17238855361938477
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,kappa,0.6666666666666667,3,240,60,41,0.17238855361938477
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,accuracy,0.7333333333333333,4,240,60,41,0.18915510177612305
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,balanced_accuracy,0.734375,4,240,60,41,0.18915510177612305
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,kappa,0.4666666666666667,4,240,60,41,0.18915510177612305
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,accuracy,0.75,4,240,60,41,0.17242956161499023
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,balanced_accuracy,0.7455357142857143,4,240,60,41,0.17242956161499023
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,kappa,0.4943820224719101,4,240,60,41,0.17242956161499023
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,accuracy,0.8166666666666667,0,240,60,50,0.7781577110290527
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,balanced_accuracy,0.8166666666666667,0,240,60,50,0.7781577110290527
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,kappa,0.6333333333333333,0,240,60,50,0.7781577110290527
Miller2019-faces_basic,ca,faceshouses,HighGamma+LDA,accuracy,0.8166666666666667,0,240,60,50,0.2223188877105713
Miller2019-faces_basic,ca,faceshouses,HighGamma+LDA,balanced_accuracy,0.8166666666666667,0,240,60,50,0.2223188877105713
Miller2019-faces_basic,ca,faceshouses,HighGamma+LDA,kappa,0.6333333333333333,0,240,60,50,0.2223188877105713
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,accuracy,0.9333333333333333,1,240,60,50,0.6032676696777344
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,balanced_accuracy,0.9333333333333333,1,240,60,50,0.6032676696777344
Miller2019-faces_basic,ca,faceshouses,LogBandPower+LDA,kappa,0.8666666666666667,1,240,60,50,0.6032676696777344
