dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,59,0.4456470012664795
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,1.0,3,48,12,59,0.4456470012664795
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.75,3,48,12,59,0.4336211681365967
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,0.7571428571428571,3,48,12,59,0.4336211681365967
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,0.5,3,48,12,59,0.4336211681365967
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,48,12,59,0.451244592666626
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,0.875,4,48,12,59,0.451244592666626
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,0.8,4,48,12,59,0.451244592666626
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,1.0,4,48,12,59,0.4318525791168213
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,1.0,4,48,12,59,0.4318525791168213
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,1.0,4,48,12,59,0.4318525791168213
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,0,24,6,60,0.23212456703186035
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,0,24,6,60,0.23212456703186035
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,0,24,6,60,0.23212456703186035
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,0,24,6,60,0.21653270721435547
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,0,24,6,60,0.21653270721435547
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,0,24,6,60,0.21653270721435547
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,1,24,6,60,0.8499884605407715
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,1,24,6,60,0.8499884605407715
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,1,24,6,60,0.8499884605407715
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,1,24,6,60,0.22116708755493164
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,1,24,6,60,0.22116708755493164
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,1,24,6,60,0.22116708755493164
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,2,24,6,60,0.8562307357788086
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,2,24,6,60,0.8562307357788086
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,2,24,6,60,0.8562307357788086
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,2,24,6,60,0.21726179122924805
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,2,24,6,60,0.21726179122924805
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,2,24,6,60,0.21726179122924805
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,3,24,6,60,0.6612875461578369
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,3,24,6,60,0.6612875461578369
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,3,24,6,60,0.6612875461578369
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,3,24,6,60,0.21860241889953613
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,3,24,6,60,0.21860241889953613
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,3,24,6,60,0.21860241889953613
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,4,24,6,60,0.45978212356567383
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,4,24,6,60,0.45978212356567383
Miller2019-motor_basic,cc,0,LogBandPower+LDA,kappa,1.0,4,24,6,60,0.45978212356567383
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,4,24,6,60,0.22037911415100098
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,4,24,6,60,0.22037911415100098
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,4,24,6,60,0.22037911415100098
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,0,48,12,64,0.6165008544921875
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,0,48,12,64,0.6165008544921875
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,0,48,12,64,0.6165008544921875
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,0,48,12,64,0.46871471405029297
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,64,0.46871471405029297
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,0,48,12,64,0.46871471405029297
